shrid2,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
11-09-151-00791-800878,94468.109375,16413.62109375,0.3260146379470825,0.38038209080696106,0.0,0.0,1.0,1.0
11-09-151-00791-800879,107213.7109375,19236.59375,0.23650220036506653,0.28750497102737427,0.0,0.0,1.0,1.0
11-09-151-00791-800880,107205.5078125,18366.119140625,0.22348666191101074,0.27880990505218506,0.0,0.0,1.0,1.0
11-09-151-00792-800881,84195.8515625,15172.8642578125,0.3371882438659668,0.426387757062912,0.0,0.0,1.0,1.0
11-09-151-00792-800882,105820.0859375,19152.451171875,0.21383324265480042,0.2746675908565521,0.0,0.0,1.0,1.0
11-09-152-00793-800883,97910.890625,21414.60546875,0.1880934089422226,0.2385595738887787,0.0,0.0,1.0,1.0
11-09-152-00793-800884,109084.25,23715.443359375,0.15480759739875793,0.1905404031276703,0.0,0.0,1.0,1.0
11-09-152-00794-800885,103969.515625,20365.259765625,0.1772264838218689,0.2183651626110077,0.0,0.0,1.0,1.0
11-09-152-00794-800886,92313.734375,16191.4296875,0.3217753767967224,0.3855799436569214,0.0,0.0,1.0,1.0
11-09-152-00794-800887,103335.2734375,20612.458984375,0.23246535658836365,0.29602673649787903,0.0,0.0,1.0,1.0
11-09-152-00795-800888,129240.3359375,23711.625,0.08870768547058105,0.11156412214040756,0.0,0.0,1.0,1.0
11-09-152-00795-800889,114546.1484375,21902.51171875,0.17344625294208527,0.21055728197097778,0.0,0.0,1.0,1.0
11-09-152-00795-800890,151278.5625,31887.9375,0.09494137763977051,0.1132245659828186,0.0,0.0,1.0,1.0
11-09-152-00795-800891,100284.8203125,21031.203125,0.28114330768585205,0.3308734595775604,0.0,0.0,1.0,1.0
11-09-152-00796-800892,118653.8359375,23870.859375,0.12303867936134338,0.1640515774488449,0.0,0.0,1.0,1.0
11-09-152-00796-800893,104490.0546875,19830.994140625,0.14464840292930603,0.20995084941387177,0.0,0.0,1.0,1.0
11-09-153-00797-800894,85707.9140625,16470.08984375,0.32171499729156494,0.3782387375831604,0.0,0.0,1.0,1.0
11-09-153-00798-800895,108312.0625,23026.53125,0.16405659914016724,0.1989622712135315,0.0,0.0,1.0,1.0
11-09-153-00799-800896,96820.5703125,20505.947265625,0.2265901118516922,0.26369258761405945,0.0,0.0,1.0,1.0
11-09-153-00799-800897,123102.28125,24980.09765625,0.10353012382984161,0.13384053111076355,0.0,0.0,1.0,1.0
11-09-153-00800-800898,101848.8515625,19008.298828125,0.27235540747642517,0.32957661151885986,0.0,0.0,1.0,1.0
11-09-153-00800-800899,90597.640625,16156.51171875,0.3097042739391327,0.37122902274131775,0.0,0.0,1.0,1.0
11-09-153-00801-800900,125466.65625,25909.69921875,0.12003282457590103,0.14734098315238953,0.0,0.0,1.0,1.0
11-09-153-00801-800901,86929.78125,15751.0966796875,0.3679925799369812,0.4401871860027313,0.0,0.0,1.0,1.0
11-09-153-00801-800902,82784.140625,16716.02734375,0.345085471868515,0.3899572789669037,0.0,0.0,1.0,1.0
11-09-153-00802-800903,82882.28125,15031.8486328125,0.4053753912448883,0.46246111392974854,0.0,0.0,1.0,1.0
11-09-154-00803-800904,101892.3046875,20372.9921875,0.17565754055976868,0.2331588864326477,0.0,0.0,1.0,1.0
11-09-154-00803-800905,110304.8359375,21212.173828125,0.18967071175575256,0.2284228801727295,0.0,0.0,1.0,1.0
11-09-154-00804-800906,94144.1875,55542.1484375,0.04808686673641205,0.0589451901614666,0.0,0.0,1.0,1.0
11-09-154-00804-800907,131556.765625,32222.728515625,0.06902413070201874,0.0930875912308693,0.0,0.0,1.0,1.0
11-09-154-00804-800908,93679.4296875,46681.47265625,0.07150901108980179,0.09290540963411331,0.0,0.0,1.0,1.0
11-09-154-00805-800909,93965.03125,16007.0849609375,0.3448439836502075,0.4108617603778839,0.0,0.0,1.0,1.0
11-09-154-00805-800910,94564.546875,18856.80859375,0.28140848875045776,0.34752655029296875,0.0,0.0,1.0,1.0
11-09-154-00806-800911,111685.46875,21175.560546875,0.14882536232471466,0.1855495125055313,0.0,0.0,1.0,1.0
11-09-154-00807-800912,109993.7578125,20153.619140625,0.23682358860969543,0.28436148166656494,0.0,0.0,1.0,1.0
11-09-154-00807-800913,95962.3203125,19299.287109375,0.24081632494926453,0.30352506041526794,0.0,0.0,1.0,1.0
11-09-154-00808-800914,114798.5546875,21949.529296875,0.12683090567588806,0.167573943734169,0.0,0.0,1.0,1.0
11-09-155-00809-800915,101689.25,18956.31640625,0.23791852593421936,0.29428210854530334,0.0,0.0,1.0,1.0
11-09-155-00809-800916,107301.6640625,19663.49609375,0.2610090970993042,0.3011946976184845,0.0,0.0,1.0,1.0
11-09-155-00810-800917,108931.0,18724.4453125,0.23876085877418518,0.2794358432292938,0.0,0.0,1.0,1.0
11-09-155-00811-800918,87297.7421875,14367.76953125,0.4578475058078766,0.5135475397109985,0.0,0.0,1.0,1.0
11-09-155-00811-800919,138949.34375,25113.95703125,0.09739367663860321,0.12023287266492844,0.0,0.0,1.0,1.0
11-09-155-00812-800920,103258.0703125,18367.74609375,0.26273173093795776,0.317238450050354,0.0,0.0,1.0,1.0
11-09-155-00812-800921,90474.8203125,15496.0390625,0.3563523292541504,0.42578238248825073,0.0,0.0,1.0,1.0
11-09-155-00812-800922,113719.9140625,22132.037109375,0.15896861255168915,0.20695066452026367,0.0,0.0,1.0,1.0
11-09-155-00812-800923,94407.59375,16303.8974609375,0.32215985655784607,0.3831975758075714,0.0,0.0,1.0,1.0
11-09-155-00812-800924,90379.9140625,16977.537109375,0.26963502168655396,0.3353716731071472,0.0,0.0,1.0,1.0
11-09-155-00813-800925,99955.4140625,18385.015625,0.23673397302627563,0.2773844003677368,0.0,0.0,1.0,1.0
11-09-155-00813-800926,110134.7421875,19457.197265625,0.21231895685195923,0.24446921050548553,0.0,0.0,1.0,1.0
11-09-155-00813-800927,106716.7890625,18564.697265625,0.2444535344839096,0.290839284658432,0.0,0.0,1.0,1.0
11-09-156-00814-800928,107603.3671875,22940.34375,0.20125237107276917,0.2452308088541031,0.0,0.0,1.0,1.0
11-09-156-00814-800929,109869.4765625,22453.224609375,0.16185230016708374,0.21422721445560455,0.0,0.0,1.0,1.0
11-09-156-00814-800930,105122.0390625,23393.2734375,0.23545940220355988,0.28182074427604675,0.0,0.0,1.0,1.0
11-09-156-00814-800931,109280.3203125,23104.689453125,0.1311168372631073,0.16108639538288116,0.0,0.0,1.0,1.0
11-09-156-00814-800932,103259.9765625,18299.1015625,0.2523080110549927,0.30001547932624817,0.0,0.0,1.0,1.0
11-09-156-00814-800933,90817.328125,16174.26171875,0.3559822738170624,0.44355350732803345,0.0,0.0,1.0,1.0
11-09-156-00815-800934,99274.109375,18274.83203125,0.24192261695861816,0.3081372082233429,0.0,0.0,1.0,1.0
11-09-156-00815-800935,100364.0,18732.267578125,0.22744660079479218,0.2789289057254791,0.0,0.0,1.0,1.0
11-09-156-00815-800936,98604.3671875,18332.677734375,0.22443130612373352,0.2674189507961273,0.0,0.0,1.0,1.0
11-09-156-00815-800937,92204.15625,15734.8642578125,0.32905590534210205,0.39230063557624817,0.0,0.0,1.0,1.0
11-09-156-00815-800938,80881.828125,14068.35546875,0.4913123846054077,0.5595194101333618,0.0,0.0,1.0,1.0
11-09-156-00815-800939,107281.5703125,19811.98828125,0.19598156213760376,0.2418752759695053,0.0,0.0,1.0,1.0
11-09-156-00816-800940,139298.8125,36368.06640625,0.04716245457530022,0.06723402440547943,0.0,0.0,1.0,1.0
11-09-156-00816-800941,130307.359375,30481.400390625,0.05194275081157684,0.0695200264453888,0.0,0.0,1.0,1.0
11-09-156-00817-800942,96053.125,18997.46875,0.22552011907100677,0.26527971029281616,0.0,0.0,1.0,1.0
11-09-156-00817-800943,94709.2265625,18885.53125,0.21320874989032745,0.26098960638046265,0.0,0.0,1.0,1.0
11-09-156-00818-800944,96860.703125,21038.853515625,0.18476727604866028,0.21509169042110443,0.0,0.0,1.0,1.0
11-09-156-00818-800945,100978.828125,19810.00390625,0.21955056488513947,0.27955055236816406,0.0,0.0,1.0,1.0
11-09-157-00819-800946,112987.8515625,19865.279296875,0.19275110960006714,0.23000432550907135,0.0,0.0,1.0,1.0
11-09-157-00820-800947,89115.90625,17823.1796875,0.28135591745376587,0.37027379870414734,0.0,0.0,1.0,1.0
